Type of Event,Event Verticals,Name of Event,Dates,Hours,Date of Last Year's Event,Date of Next Year's Event,Country,City,Venue,# Atendees of Last Event,# Exhibitors of Last Event,URL,Phone Number,E-mail,About the Event,Exhibitors,Attendees,Exhibitor Info,Link to Photos,Link to Videos,Facebook,Instagram,Linkedin,Twitter,,
Trade Show,"Print, Packaging, Graphics",Global Print Expo,24 Mar 2020-27 Mar 2020,10:00 AM - 06:00 PM (24 Mar 2020-26 Mar 2020 )|10:00 AM - 04:00 PM (27 Mar 2020),14-17 May 2019,TBD,Spain,Madrid,IFEMA,,600,https://www.fespaglobalprintexpo.com,+44 1737 240 788,info@fespa.com,"Europe's Largest International Specialty Print Exhibition Nearly 57 years since its first exhibition, FESPA Global Print Expo has firmly established itself as the leading print exhibition in Europe, providing visitors with access to 600 exhibitors for wide format digital, screen and textile pint and signage, and the opportunity to discover the diverse and creative world of speciality print. https://www.fespaglobalprintexpo.com/visitor-menu/who-should-visit",,Eligibility Criteria: Open to industry professionals Fees: Online registration rate - 40 Onsite registration rate - 70,Sponsorship Fees: No information Exhibitor Fees: Contact required for further information,,https://www.youtube.com/watch?v=6XY0ABPnH44,https://www.facebook.com/fespa/,,https://www.linkedin.com/company/fespa,https://twitter.com/FESPA,,
Trade Show,"Print, Packaging, Graphics",Sign Africa Expo,11 Sep 2019-13 Sep 2019,09:00 AM - 05:00 PM,12-14 Sep 2018,20-Sep,South Africa,Johannesburg,Gallagher Convention Centre,,,https://signafricaexpo.com/johannesburg/,,info@signafricaexpo.com,Take Your Signage & Print Business to the Next Level The exhibition delivers a wide array of products and technologies which can help you find new and inspiring ideas to grow your business. https://signafricaexpo.com/johannesburg/,"OKI/Printacom Technologies ,Plexiglas/Rhm Africa ,SA Argus ,Stelle Enterprises ,Skyco Media Technologies ,Titan Jet Africa ,Ultratec ,Intamarket Graphics ,LBY Africa ,Modica ,Rexx Screen & Digital Supplies ,3A Composites GmbH ,Dacen Digital Technology ,Falcon ,GAWK Visual Engineers ,Gencotech Laser Marking ,H.Y. Digital Technology ,JG Electronics ,Konica Minolta ,Maikesub Digital Imaging",Eligibility Criteria: Open to industry professionals Fees: Free,Sponsorship Fees: No information Exhibitor Fees: Contact required for further information,,,https://www.facebook.com/SignAfrica/,https://www.instagram.com/signaf/,https://www.linkedin.com/company/sign-africa/,https://twitter.com/signaf,,
Trade Show,"Print, Packaging, Graphics",The NBM Show Columbus,12 Sep 2019-14 Sep 2019,10:00 AM - 04:00 PM (12 Sep 2019-13 Sep 2019)|10:00 AM - 06:00 PM (14 Sep 2019),,TBD,USA,Columbus,Greater Columbus Convention Center,,,https://thenbmshow.com/columbus,+1 800 560 9941,,"High-quality exhibitors, hundreds of products, one valuable experience! The NBM Show is the top place where industry manufacturers and suppliers showcase their products & services. https://thenbmshow.com/columbus/about-nbm-show-columbus","Arris Sign Systems ,CADlink Technology Corp ,Capital One ,Coastal Business Supplies ,Digiprint-Parts ,Equipment Zone ,Geneva Capital LLC ,Hirsch Solutions Inc ,Orbus Exhibit & Display Group ,Royal Printing Solutions ,SAGE ,Trotec Laser Inc ,Vision Engraving & Routing Systems ,XANTE Corp ,Stitch It Inc ,Peachtree City Foamcraft Inc ,NUtec Digital Ink USA ,Fil-Tec Inc ,Epilog Laser ,Direct Color Systems",Eligibility Criteria: Open to industry professionals Fees: Free,Sponsorship Fees: Sponsorship opportunities available Contact required for further information Exhibitor Fees: Raw exhibit space - $22 per sq ft,https://thenbmshow.com/gallery,,http://www.facebook.com/TheNBMShow,https://www.instagram.com/thenbmshow/,,https://twitter.com/TheNBMShow,,
Trade Show,"Print, Packaging, Graphics",The NBM Show Long Beach,15 Aug 2019-17 Aug 2019,10:00 AM - 06:00 PM,2-4 Aug 2018,13-15 Apr 2020,USA,Long Beach,Long Beach Convention & Entertainment Center - Halls B/C,,,https://thenbmshow.com/long-beach,+1 800 560 9941,,"High-quality exhibitors, hundreds of products, one valuable experience! The NBM Show is the top place where industry manufacturers and suppliers showcase their products & services. https://thenbmshow.com/long-beach","Action Illustrated ,CET Color ,Canon Solutions America ,Digital Art Solutions ,FLEXcon ,JDS Sign Supply ,Laguna Tools ,Next Level Apparel ,OKI ,PixPal Printing ,Platinum Sign Supply ,Printavo ,Purex Inc ,Ricoma Intl Corp ,SAGE ,Sign Mart ,The Wrap Institute ,Vastex Intl Inc ,XANTE Corp ,MMP Capital",Eligibility Criteria: Open to industry professionals,Sponsorship Fees: Sponsorship opportunities available Contact required for further information Exhibitor Fees: Raw exhibit space - $22 per sq ft,https://thenbmshow.com/gallery/2018-long-beach-photo-gallery,,http://www.facebook.com/TheNBMShow,https://www.instagram.com/thenbmshow/,,https://twitter.com/TheNBMShow,,
Trade Show,"Print, Packaging, Graphics",The NBM Show Denver,11 Oct 2019-12 Oct 2019,10:00 AM - 04:00 PM (11 Oct 2019)|10:00 AM - 03:00 PM (12 Oct 2019),8-9 Sep 2017,TBD,USA,Denver,Colorado Convention Center - Hall B,,,https://thenbmshow.com/denver,+1 800 560 9941,,"High-quality exhibitors, hundreds of products, one valuable experience! The NBM Show is the top place where industry manufacturers and suppliers showcase their products & services. https://thenbmshow.com/denver/about-nbm-show-denver","Capital One ,Digital Art Solutions ,SAGE ,Stitch It Inc ,Advertising Specialty Inst/ASI ,Action Illustrated ,Color with Conde ,Direct Color Systems ,First Edition Screenprinting ,Gamehide ,IKONICS Imaging ,Hirsch Solutions Inc ,JDS Industries Inc ,Midsouth Digitizing ,Midwest Sign & Screen Printing ,NUtec Digital Ink USA ,Printavo ,Royal Printing Solutions ,Soardist USA ,MTN Screen Printing Supplies LLC",Eligibility Criteria: Open to industry professionals Fees: Free,Sponsorship Fees: Sponsorship opportunities available Contact required for further information Exhibitor Fees: Raw exhibit space - $22 per sq ft,https://thenbmshow.com/gallery/denver-2016,,http://www.facebook.com/TheNBMShow,https://www.instagram.com/thenbmshow/,,https://twitter.com/TheNBMShow,,
Trade Show,"Print, Packaging, Graphics",The NBM Show Charlotte,8 Nov 2019-9 Nov 2019,10:00 AM - 04:00 PM (8 Nov 2019)|10:00 AM - 03:00 PM (9 Nov 2019),2-3 Nov 2018,6-7 Nov 2020,USA,Charlotte,Charlotte Convention Center - Hall C,,,https://thenbmshow.com/charlotte,+1 800 560 9941,,"High-quality exhibitors, hundreds of products, one valuable experience! The NBM Show is the top place where industry manufacturers and suppliers showcase their products & services. https://thenbmshow.com/charlotte/about-nbm-show-charlotte","Capital One ,Digital Art Solutions ,SAGE ,Stitch It Inc ,Advertising Specialty Inst/ASI ,Action Illustrated ,Color with Conde ,Direct Color Systems ,First Edition Screenprinting ,Gamehide ,IKONICS Imaging ,Hirsch Solutions Inc ,JDS Industries Inc ,Midsouth Digitizing ,Midwest Sign & Screen Printing ,NUtec Digital Ink USA ,Printavo ,Royal Printing Solutions ,Soardist USA ,MTN Screen Printing Supplies LLC",Eligibility Criteria: Open to industry professionals Fees: Free,Sponsorship Fees: Sponsorship opportunities available Contact required for further information Exhibitor Fees: Raw exhibit space - $22 per sq ft,https://thenbmshow.com/gallery/2018-charlotte-photo-gallery,,http://www.facebook.com/TheNBMShow,https://www.instagram.com/thenbmshow/,,https://twitter.com/TheNBMShow,,
Trade Show & Conference,"Print, Packaging, Graphics",Pack Print International,18 Sep 2019-21 Sep 2019,10:00 AM - 06:00 PM (18 Sep 2019-20 Sep 2019)|10:00 AM - 05:00 PM (21 Sep 2019),20-23 Sep 2017,21-Sep,Thailand,Bangkok,BITEC,14615,300,https://www.pack-print.de/index.php/en/,+65 6332 9642,beattrice@mda.com.sg,"Southeast Asia's Largest Packaging and Printing Exhibition Packaging and printing innovations and new technology will come under one roof at the next edition of PACK PRINT INTERNATIONAL 2019. As the leading exhibition of its kind in Southeast Asia, the exhibition continues to attract an international and diverse exhibitor and visitor base making it the trade platform of choice to conduct successful business transactions, secure deals, and network with relevant brand names. https://www.pack-print.de/show-info.html","Fujifilm Thailand ,Erhardt & Leimer Thailand ,Azura Paktec Co. Ltd. ,Graphpack Co. Ltd. ,Konica Minolta Thailand ,Paperasia Magazine ,Sunfung Technology ,WH Packaging Co. Ltd. ,Superior Inkjet Co. Ltd. ,Ricoh Thailand ,Modify Ink ,Koenig & Bauer AG ,Japan Packaging Institute ,Hx Production Ltd. ,Fuji Xerox Thailand ,Copierland ,Delsson Singapore ,JCI Applications ,King Art Advertising ,Neiwa Corporation",Eligibility Criteria: Open to industry professionals Fees: Free,Sponsorship Fees: No information Exhibitor Fees: Contact required for further information,,https://www.youtube.com/watch?v=reWuFzqkQ3s,https://www.facebook.com/PackPrintInternational/,,,,,
Trade Show & Conference,"Print, Packaging, Graphics",C!Print Madrid,24 Sep 2019-26 Sep 2019,10:00 AM - 07:00 PM,25-27 Sep 2018,20-Sep,Spain,Madrid,Glass Pavilion,12934,260,https://salon-cprint.es/en/,+34 91 372 97 45,visitantes@salon-cprint.es,"A Show with an Innovative Concept and a Highly Enriched Content After a successful fourth edition, C!Print Madrid returns with the aim to bring together all sectors in the visual communication market and the new players from related markets such as decorators, architects, designers, etc. https://salon-cprint.es/en/why-visit-cprint-madrid/","Chili Concept ,Dalvin ,Flexico Plv ,Gandy Digital ,Grupo Solitium ,HP Printing and Computing Solutions ,Mitsubishi Electric Europe B.V. ,Badge4U ,Signs Plaza ,Okcard ,Laser Project Digital SL ,Ultramagic S.A. ,Suntek Light Boxes ,Roland Dg Iberia SL ,Quantia Solutions ,STM Develop ,Visual Textil - Logotamp ,Vysual ,Color-Dec Espana ,AP Digitales",Eligibility Criteria: Open to industry professionals Fees: Contact required for further information,Sponsorship Fees: No information Exhibitor Fees: Contact required for further information,https://salon-cprint.es/en/photo-gallery/,https://www.youtube.com/channel/UC2ERRCITnF1de1Ei6IlcRBg,https://www.facebook.com/cprintmadrid/,https://www.instagram.com/cprint.madrid/,https://www.linkedin.com/company/c-print-madrid/,https://twitter.com/CPrint_Madrid,,
Trade Show & Conference,"Print, Packaging, Graphics",PRINT,3 Oct 2019-5 Oct 2019,10:00 AM - 05:00 PM (3 Oct 2019)|09:00 AM - 05:00 PM (4 Oct 2019)|09:00 AM - 03:00 PM (5 Oct 2019),30 Sep-2 Oct 2018,Sep-Oct 2020,USA,Chicago,McCormick Place North,22423,491,https://www.printtechnologies.org/PRINT19/,+1 703 264 7232,cyoung@aptech.org,"The Heart of the Print Industry Stay for the PRINT event and see what's RED HOT, network with your peers, and attend the Celebrate PRINT Opening Reception on Thursday, October 3. Check out our line-up of more than 80 learning sessions (coming soon) including hands-on labs. Sign up for a TechWalk - the hot ticket from PRINT 18 or take a break and participate in a TechTalk - learning sessions hosted by manufacturers to help you learn about products and services. https://www.printtechnologies.org/PRINT19/","BCC Software ,Crawford Technologies Inc. ,RISO Inc. ,Rochester Software Assoc. (RSA) ,Rollem International ,Spiel Associates Inc. ,Standard Finishing Systems ,Tharstern ,Absolute Printing Equipment ,Artifex ,Capital One ,Digital ES / Miramar Copies Inc ,Epson ,Gralex ,Interthor Inc. ,Kao Collins Inc. ,Koenig & Bauer ,LogoJET ,Magnum Magnetics ,Quadient",Eligibility Criteria: Open to industry professionals Fees: PSP and APTech Members - Free PSP Non-members - $49 Manufacturer Members of APTech - $79 (Onsite - $119) Non-member Manufactrers - $89 (Onsite - $129),Sponsorship Fees: No information Exhibitor Fees: APTech Members - $28/sq ft Non-members - $33,,https://www.youtube.com/user/GraphicArtsShowCo,https://www.facebook.com/APTtechorg/,https://www.instagram.com/theprintevent/,https://www.linkedin.com/company/association-for-print-technologies/,https://twitter.com/APT_tech,,
Trade Show,"Print, Packaging, Graphics",PPP Expo East Africa,7 Nov 2019-9 Nov 2019,10:00 AM - 06:00 PM,22-24 Nov 2018,20-Nov,Tanzania,Dar es Salaam,Diamond Jubilee Expo Center,5800,110,https://expogr.com/tanzania/pppexpo/,+1 832 709 0098,roland.martinez@energyconferencenetwork.com,"Africa's Mega Plastics Printing & Packaging Exhibition The 22nd PPPEXPO 2019 - International Trade Exhibition on Plastic, Printing & Packaging is the largest trade event held annually in Tanzania, concurrently held with East Africa Trade Exhibition (EAITE). The exhibition attracts exhibitors from more than 20 countries and visitors from all over East & Central Africa, thus giving exhibitors an excellent opportunity to explore several countries at one time. https://expogr.com/tanzania/pppexpo/","SSP Packaging Industries Pvt Ltd ,A.L-Nonwoven ,Indpro Engineering Systems Pvt Ltd ,Amut Spa ,PrintXcel (Pvt) Ltd ,Five Elements ,Yukesh Industries ,Modern Plastic Company ,A.M.R.P. Handels AG ,Kortan Limited ,Kyan Plast Company ,Shree Royal Polyplast Industries ,Five Star Printers Ltd ,Associated Industrial Corporation ,Safrique ,Tetra Pak Ltd. ,Orient Press Limited ,Millenium Packaging ,JJ Plastalloy Pvt Ltd. ,Label Art Factory",Eligibility Criteria: Open to industry professionals and trade visitors Fees: Free,Sponsorship and exhibition opportunities available Contact required for further information,https://expogr.com/tanzania/pppexpo/photo_gallery.php,https://www.youtube.com/playlist?list=PLS5ANHqVmkzA5Ctb8HgSAe5CejbsG6f8M,https://www.facebook.com/pppexpoafrica/?ref=bookmarks,https://instagram.com/expogroup/,https://www.linkedin.com/groups?home=&gid=3328594&trk=anet_ug_hm,https://twitter.com/EXPOGR,,
Trade Show & Conference,"Print, Packaging, Graphics",Printing United,23 Oct 2019-25 Oct 2019,09:00 AM - 05:00 PM (23 Oct 2019-24 Oct 2019)|09:00 AM - 03:00 PM (25 Oct 2019),18-20 Oct 2018,20-Oct,USA,Dallas,Kay Bailey Hutchison Convention Center,24293,612,https://www.printingunited.com/,+1 703 385 1335,register@printingunited.com,"The Next Generation of the SGIA Expo PRINTING United is a brand-new trade show built on the strong foundation of the SGIA Expo. This newly relaunched event will continue to provide access to the latest solutions for apparel, graphics/wide-format and functional printing applications, while also extending into the commercial, packaging, and in-plant printing segments. https://www.printingunited.com/",,Eligibility Criteria: Open to industry professionals and trade visitors Fees: SGIA Members Expo + Education Pass - Free Early Bird Rates (before Sep 11) - $30 - $69 Normal Rates (Starting Sep 11) - $30 - $99 Non-members Expo + Education Pass - $99 Expo Floor Only - Free Early Bird Rates (before Sep 11) - $30 - $99 Normal Rates (Starting Sep 11) - $30 - $115 Expo + Education Pass - $115 Expo Floor Only - $35 Normal Rates (Starting Oct 21) - $30 - $115 Expo + Education Pass - $115 Expo Floor Only - $50,Sponsorship Fees: Contact required for further information Exhibitor Fees: Prime Pricing - $28 - $31 per sq ft Standard Pricing - $26 - $29 per sq ft,,https://www.youtube.com/channel/UCsfW0td4H0VApPjpli1HtsA,https://www.facebook.com/printingunited,https://www.instagram.com/printingunited/,https://www.linkedin.com/company/printing-united/,https://twitter.com/printingunited,,
Trade Show & Conference,"Print, Packaging, Graphics",P2P Technology + Innovation Summit,23-25 Oct 2019,09:00 AM - 06:00 PM,17-19 Oct 2018,20-Oct,USA,Louisville,Galt House Hotel,1227,200,https://www.psda.org/page/p2p,+1 800 230 0175,meetingsinfo@psda.org,"Raising the Stakes with Print There are exciting things happening in our industry, and the P2P Technology + Innovation Summit is your opportunity to be a part of all the action. Meet with leading print distributors and technology suppliers showcasing the latest technologies, attend education sessions tailored to your role, and connect with industry leaders who are moving the industry forward. https://www.psda.org/page/p2p","Sage ,Printco ,SourceIT ,Gabriel Group ,Label Art ,Qt2 ,C.E. Printed Products ,Mar Graphics ,Pollock Printing ,Marathon Label ,Acucote ,BCT Indiana ,Launchpad Intelligent Software Inc. ,Eagle Graph""ics ,Firehouse Image Center ,Heinn Chapmann ,Xpress Signs and Graphics ,The Leslie Company ,Strata-Tac ,Labels West Inc.",Eligibility Criteria: Open to industry professionals and trade visitors Fees: Before September 6 Full Conference (Members) - $399 Full Conference (Non-members) - $799 Manufacturer/Exhibitor Full Conference (Members) - $399 Manufacturer/Exhibitor Full Conference (Non-members) - $799 Manufacturer/Non-Exhibitor (Members) - $2.700 Manufacturer/Non-Exhibitor (Non-members) - $3.900 After September 6 Full Conference (Members) - $495 Full Conference (Non-members) - $849 Manufacturer/Exhibitor Full Conference (Members) - $495 Manufacturer/Exhibitor Full Conference (Non-members) - $849,Sponsorship/Exhibition Fees: Packages vary between $2.500 - $12.500 Sponsor/Exhibitor Registration,,,http://www.facebook.com/pages/Print-Services-Distribution-Association/36065302887,,https://www.linkedin.com/in/psda-headquarters-5a300236,https://twitter.com/psda,,
Trade Show & Conference,"Print, Packaging, Graphics",PHOTOPLUS,24 Oct 2019-26 Oct 2019,10:00 AM - 05:00 PM (24 Oct 2019-25 Oct 2019)|10:00 AM - 04:00 PM (26 Oct 2019),25-27 Oct 2018,20-Oct,USA,New York,Javits Convention Center,17805,221,https://www.photoplusexpo.com,+1 800 465 5514,photoplus@experient-inc.com,"The Biggest Photography Event in North America PHOTOPLUS was founded in 1983, and is the largest photography and imaging event in North America. The ultimate experience for anyone with an interest in photo, video, and visual storytelling to get up-to-date with latest industry trends. https://www.photoplusexpo.com/show/about/","HEX ,Meero ,Tether Tools ,Skylum Software ,Canon U.S.A. ,Carl Zeiss, Inc. ,Dell, Inc. ,Epson America Inc ,Kodak Pixpro ,OP/TECH USA ,Nikon, Inc. ,Western Digital ,Print File, Inc. ,Peak Design ,Panasonic ,Hoodman Corporation ,Fotopro USA ,Durico Imaging Inc. ,BenQ ,Insta360",Eligibility Criteria: Open to industry professionals and trade visitors Fees: Expo Pass Advance (6/6-10/23) - Free Onsite (10/24-10/26) - $25 Photo Walks Advance (6/6-10/23) - $59 Onsite (10/24-10/26) - $75,Sponsorship Fees: Packages vary between $750 - $32.000 Exhibitor Fees: Contact required for further information,,https://www.youtube.com/user/pdnvideo,https://www.facebook.com/PHOTOPLUSExpo,https://www.instagram.com/PHOTOPLUSOfficial,,https://twitter.com/photoplusexpo,,
Trade Show,"Print, Packaging, Graphics",SGI Dubai - Sign and Graphic Imaging Middle East,12 Jan 2020-14 Jan 2020,11:00 AM - 07:00 PM (12 Jan 2020-13 Jan 2020)|10:00 AM - 06:00 PM (14 Jan 2020),13-15 Jan 2019,21-Jan,UAE,Dubai,Dubai World Trade Centre,10000,400,https://signmiddleeast.com,+971 4 3435777,sgidubai@iecdubai.com,"The Largest Exhibition for Signage SGI Dubai is known for its massive machines and innovative technologies,this is the largest exhibition for signage, digital signage, retail signage solutions, outdoor media, screen and digital printing industry in the MENA region. https://signmiddleeast.com/introduction.php",,Eligibility Criteria: Open to industry professionals and trade visitors Fees: Contact required for further information,Sponsorship Fees: Packages vary between $6.000 - $25.000 Exhibitor Fees: Contact required for further information,https://signmiddleeast.com/images_2019.php,https://signmiddleeast.com/videos_2019.php,http://www.facebook.com/sgidubai,https://www.instagram.com/sgidubai/,https://www.linkedin.com/authwall?trk=gf&trkInfo=AQEfMFZkZEHbygAAAWF5efBQbg6KRiNsqOzf5gtCQnd8u957BMmKUtdBivI6gR0EE2COZxM-QGoWB8XhAUMNeLIg9bxurKvgKUdXaxYawOntKI4fOecF6r1S7efQewXrORDcKp8=&originalReferer=http://www.signmiddleeast.com/index.html&sessionRedirect=https%3A%2F%2Fwww.linkedin.com%2Fin%2Fsign-and-graphic-imaging-dubai-ba0234a2%3FauthType%3DNAME_SEARCH%26authToken%3DQNpV%26locale%3Den_US%26trk%3Dtyah%26trkInfo%3DclickedVertical%253Amynetwork%252CclickedEntityId%253A364858536%252CauthType%253ANAME_SEARCH%252Cidx%253A1-1-1%252CtarId%253A1471499128140%252Ctas%253Asign,http://twitter.com/sgidubai,,
Trade Show,"Print, Packaging, Graphics",C!Print Lyon,5 Feb 2019-7 Feb 2019,11:00 AM - 05:00 PM (5 Feb 2019)|10:00 AM - 05:00 PM (6 Feb 2019)|10:00 AM - 03:00 PM (7 Feb 2019),6-8 Feb 2018,4-6 Feb 2020,France,Lyon,Eurexpo Lyon,16348,,https://salon-cprint.com/en/,,g-abou@656editions.net,"Content: Business, Market, Environment-Focused Beyond the quantity, it is the  quality of the visitor profiles that has been applauded by trade show exhibitors. In addition to traditional visitors, C!Print has seduced new agents who are still underrepresented in the professional trade shows in the visual communication market ( architects, designers, decorators, industries, point of sale, etc.) https://salon-cprint.com/en/the-concept/","3M France ,AGFA Graphics ,Bruneel - Gunold ,Canon ,Duo Display ,EG Numerique ,Epson ,Exaprint ,Fespa France ,HP ,Inpro ,Konica Minolta ,Mactac ,Oki ,Pano Global Sign Service ,Ricoh ,Stock and Roll ,Trotec ,Very Displays ,Xerox",Eligibility Criteria: Open to industry professionals and trade visitors Fees: Pre-registration is free. Onsite - 30,Sponsorship Fees: Packages vary between 150 - 6.000 Exhibitor Fees: Contact required for further information,https://www.flickr.com/photos/656editions/sets/72157703495102662,https://www.youtube.com/watch?v=i4DK0xg7eGk,https://www.facebook.com/saloncprint,https://www.instagram.com/saloncprint/,https://www.linkedin.com/showcase/c-print-lyon,https://twitter.com/Salon_CPrint,,
Conference,"Print, Packaging, Graphics",Asia Plastics Processing Technology & Innovative Materials Summit,27 Aug 2019-28 Aug 2019,08:00 AM - 06:00 PM,6-7 Sep 2018,Aug-Sep 2020,Indonesia,Jakarta,JS Luwansa Hotel and Convention Center,,,https://ringierevents.eventbank.com/event/2019-asia-plastics-processing-technology-innovative-materials-summit-11503/,,amberchang@ringier.com.hk,"Making the ASEAN Plastics Business Connection The Asia Plastics Processing Technology and Innovative Materials Summit 2019 (Asia Plastics Summit 2019) in Jakarta, Indonesia is the third edition of the highly successful Summit held every year. The 2-day event is packed with informative presentations and discussions focusing on innovative technologies and high-performance materials as applied in fast-growing sectors such as Packaging and Automotive. https://ringierevents.eventbank.com/event/2019-asia-plastics-processing-technology-innovative-materials-summit-11503/",,Eligibility Criteria: Open to industry professionals and local participants Fees: Standard Pass - $180 Double Package - $360 Quad Package - $540,Sponsorship opportunities available Contact required for further information Sponsorship Registration,,https://ringierevents.eventbank.com/event/2019-asia-plastics-processing-technology-innovative-materials-summit-11503/2018-post-event-video.html,,,,,,
Conference,"Print, Packaging, Graphics",PTS Coating Symposium,3 Sep 2019-4 Sep 2019,09:30 AM - 07:00 PM (3 Sep 2019)|09:00 AM - 05:00 PM (4 Sep 2019),5-6 Sep 2017,21-Sep,Germany,Munich,Leonardo Royal Hotel,300,,https://www.streicherei-symposium.de/en/info.html,+49 3529 551 60,info@ptspaper.de,"The International Meeting Point for Surface Upgrading The upcoming PTS Coating Symposium 2019 will cover a wide range of topics and aims to ""open the eyes of participants"" to the opportunities that lie ahead. For exhibitors, this platform also offers satisfactory conditions. More than 30% of the participants come from paper mills, so that the short lectures in the lecture programme are very well received and meet with interest. https://www.streicherei-symposium.de/en/info.html","Saueressig Ungricht ,Wolf Heilmann ,Trinseo ,CP Kelco ,Servophil ,UMV ,TSE Troller ,ACA Systems","Eligibility Criteria: Open to industry professionals Fees: Until 18.06.2019 - 1.330 Until 03.08.2019 - 1.396,50 Until 27.08.2019 - 1.463",Sponsorship Fees: Packages vary between 750 - 3.750 Exhibitor Fees: Exhibitor package - 2.500,,https://www.youtube.com/channel/UC9sfJ23MV-q9oMSRwz5HmoQ,,,https://www.linkedin.com/company/papiertechnische-stiftung-pts-,https://twitter.com/ptspaper,,
Conference,"Print, Packaging, Graphics",AWA Packaging Mergers and Acquisitions Executive Forum,9 Sep 2019,10:00 AM - 05:30 PM,15-Oct-18,Sep-Oct 2020,USA,Chicago,The University Club of Chicago,,,https://www.awa-bv.com/product/mergers-acquisitions-forum-2019,,conferences@awa-bv.com,"M&A Packaging Marketplace Focusing on the Labeling & Product Decoration Market The AWA Packaging Mergers & Acquisitions Executive Forum 2019 for the resin and fiber based packaging, coating, and converting sector is the premier international mergers and acquisitions event for all those involved or interested in the sector. https://www.awa-bv.com/product/mergers-acquisitions-forum-2019/#about",,Eligibility Criteria: Open to industry professionals Fees: Single Registration - $300 Group Registration (3+ Attendees from same company) - $250,Sponsorship opportunities available,,,,,https://www.linkedin.com/company/awa-alexander-watson-associates,,,
Conference,"Print, Packaging, Graphics",Fiberboard Industry Conference,14 Nov 2019-15 Nov 2019,10:00 AM - 05:00 PM (14 Nov 2019)|09:00 AM - 11:45 AM (15 Nov 2019),,20-Nov,Netherlands ,Amsterdam,Novotel Amsterdam City,,,http://www.awa-bv.com/product/international-fiberboard-industry-conference-2019/,,conferences@awa-bv.com,"The Fiberboard Conference That Focuses On End-User Driven Innovation, In Europe The International Fiberboard Industry Conference and Exhibition 2019 is specifically dedicated to the Fiber/wood-based panel industry. The focus will be on Fiberboard in its generic, composite and hybrid forms. This conference offers an industry-driven opportunity for business leaders and professionals to meet, discuss and focus on management and business aspects across a changing industry. http://www.awa-bv.com/product/international-fiberboard-industry-conference-2019/",,Eligibility Criteria: Open to industry professionals Fees: Single Registration - $595 Group Registration (3+ Attendees from same company) - $795,Sponsorship opportunities available,,,,,https://www.linkedin.com/company/awa-alexander-watson-associates,,,
Conference,"Print, Packaging, Graphics",IMLCON IMDCON IMECON,5 Sep 2019-6 Sep 2019,09:30 AM - 05:00 PM (5 Sep 2019)|09:30 AM - 12:00 PM (6 Sep 2019),10-11 Sep 2018,20-Sep,USA,Chicago,Hyatt Rosemont,,,https://www.awa-bv.com/product/imlcon-2019/,,conferences@awa-bv.com,"The Leading Conference For In-Mold Labels, Decoration And Electronics The Worlds only dedicated conference addressing In-Mold Technologies and Markets for labeling, decoration, and electronics. IMLCON was started 26 years ago and AWA recently launched, in coordination with IMLCON, a deeper focus on In-Mold Decoration (IMDCON) and In Mold Electronics (IMECON). https://www.awa-bv.com/product/imlcon-2019/",,Eligibility Criteria: Open to industry professionals Fees: Single Registration - $1.135 Group Registration (3+ Attendees from same company) - $695,Sponsorship opportunities available,,,,,https://www.linkedin.com/company/awa-alexander-watson-associates,,,
Conference,"Print, Packaging, Graphics",Linerless Labeling Industry Seminar,23 Sep 2019,09:00 AM - 05:30 PM,,20-Sep,Belgium,Brussels,Thon Hotel Bristol Stephanie,,,https://www.awa-bv.com/product/linerless-labeling-seminar-2019-2/,,conferences@awa-bv.com,"Discussion with Leading Companies across the Linerless Labeling Value Chain This first edition of the AWA Linerless Seminar, collocated with Labelexpo Europe 2019 is a key event for anyone associated with, and involved in the linerless label market, as a supplier, producer, converter or user. The prime location and timing of the event aims to draw industry professionals from around the globe. This one day seminar offers an industry-driven opportunity for business leaders and professionals to meet, discuss and focus on technology, market, and application developments across linerless labeling. https://www.awa-bv.com/product/linerless-labeling-seminar-2019-2/",,Eligibility Criteria: Open to industry professionals Fees: Single Registration - $565 Group Registration (3+ Attendees from same company) - $680,Sponsorship opportunities available,,,,,https://www.linkedin.com/company/awa-alexander-watson-associates,,,
Conference,"Print, Packaging, Graphics",Label Release Liner Industry Seminar,23 Sep 2019,09:00 AM - 05:00 PM,24-Sep-18,20-Sep,Belgium,Brussels,Thon Hotel Bristol Stephanie,,,https://www.awa-bv.com/product/label-release-liner-industry-seminar-2019-2/,,conferences@awa-bv.com,"Discussion with Leading Companies across the Linerless Labeling Value Chain This conference offers an industry-driven opportunity for business leaders and professionals to meet, discuss and focus on management and business aspects across a changing industry. Delegates will have an excellent opportunity to gain insight into the latest product developments and innovations, markets, business challenges, innovations and futures. https://www.awa-bv.com/product/label-release-liner-industry-seminar-2019-2/",,Eligibility Criteria: Open to industry professionals Fees: Single Registration - $565 Group Registration (3+ Attendees from same company) - $680,Sponsorship opportunities available,,,,,https://www.linkedin.com/company/awa-alexander-watson-associates,,,
